,role,company_name,work_experience,location,skills,post_date,link
979,Mis Executive - Mumbai,Radiant Cash Management Services,0-1 Yrs,"Navi Mumbai, Maharashtra","['Pivot Table', 'VLOOKUP', 'Advanced Excel', 'Pivot', 'Excel', 'MIS', 'Tables']",4 Days Ago,https://www.naukri.com/job-listings-mis-executive-mumbai-radiant-cash-management-services-navi-mumbai-maharashtra-0-to-1-years-220124004258
980,Data Scientist,IBM,6-10 Yrs,"Mumbai, Pune","['Performance tuning', 'data science', 'Python', 'Computer vision', 'Azure', 'PySpark', 'Numpy', 'Sci-Kit Lean']",4 Days Ago,https://www.naukri.com/job-listings-data-scientist-ibm-india-pvt-limited-mumbai-pune-6-to-10-years-220124904239
981,Back End Developer,IBM,4-6 Yrs,Bangalore/Bengaluru,"['Backend', 'NoSQL', 'Artificial Intelligence', 'Machine learning', 'Python', 'Project development', 'deep learning', 'Automation testing']",4 Days Ago,https://www.naukri.com/job-listings-back-end-developer-ibm-india-pvt-limited-bangalore-bengaluru-4-to-6-years-220124904182
982,Lead Data Scientist,Sagility India,9-14 Yrs,Hyderabad,"['R', 'US Healthcare', 'Machine Learning', 'RCM', 'Python', 'Machine', 'Healthcare', 'Data']",4 Days Ago,https://www.naukri.com/job-listings-lead-data-scientist-sagility-india-hyderabad-9-to-14-years-220124003924
983,Risk Analyst,Software Technology - India Lends,2-4 Yrs,"Gurgaon/Gurugram, Delhi / NCR","['SQL', 'R', 'Business Analytics', 'Financial Analytics', 'Risk Analytics', 'Data Analytics', 'Python', 'Risk analysis']",4 Days Ago,https://www.naukri.com/job-listings-risk-analyst-aim-future-consulting-gurgaon-gurugram-delhi-ncr-2-to-4-years-220124903922
984,clinical trial medical writer,A leading CRO,2-6 Yrs,Hyderabad,"['medical writing', 'ICF Preperation', 'Pharmacovigilance', 'Clinical Trials', 'Medical', 'ICF', 'Clinical', 'Writing']",4 Days Ago,https://www.naukri.com/job-listings-clinical-trial-medical-writer-apogee-services-hyderabad-2-to-6-years-220124003813
985,Vice President Operations,Federation Of Indian Women Entrepreneurs,2-5 Yrs,Delhi / NCR,"['operations planning', 'operations management', 'performance measurement', 'excel', 'Analytical', 'Team Management', 'data analysis', 'operations manager']",4 Days Ago,https://www.naukri.com/job-listings-vice-president-operations-federation-of-indian-women-entrepreneurs-delhi-ncr-2-to-5-years-201022011449
986,Senior Operations Executive,Federation Of Indian Women Entrepreneurs,1-3 Yrs,"New Delhi, Saket, Lado Sarai","['MS Excel', 'Self learner', 'team work', 'Coordination', 'multitasking', 'TAT', 'Data Management', 'Supervise team']",4 Days Ago,https://www.naukri.com/job-listings-senior-operations-executive-federation-of-indian-women-entrepreneurs-new-delhi-saket-lado-sarai-1-to-3-years-210721002130
987,Sales Analyst /MIS,Talentco Hr Services Llp,3-5 Yrs,"Navi Mumbai, Maharashtra","['MIS', 'Sales Analyst', 'Sales analysis', 'Sales']",4 Days Ago,https://www.naukri.com/job-listings-sales-analyst-mis-talentco-hr-services-llp-navi-mumbai-maharashtra-3-to-5-years-301023003523
988,Data Mining Analyst,Make Visions Outsourcing,1-3 Yrs,Ahmedabad,"['Excel', 'MS Office', 'Data Mining', 'Data', 'Data analysis', 'Microsoft', 'Office']",4 Days Ago,https://www.naukri.com/job-listings-data-mining-analyst-make-visions-outsourcing-ahmedabad-1-to-3-years-220124003657
989,Informatica ETL Trainer,Synergistic Compusoft,3-8 Yrs,Remote,"['PowerBI', 'SQL /NOSQL.', 'Data Analysis', 'Tableau', 'Informatica']",4 Days Ago,https://www.naukri.com/job-listings-informatica-etl-trainer-synergistic-compusoft-ghaziabad-uttar-pradesh-3-to-8-years-220124003617
990,Senior Data Analyst,Tribolatech India,10-17 Yrs,Remote,"['SQL', 'Data Quality', 'Regulatory Reporting', 'Banking Sector', 'Data Profiling', 'Data Visualization', 'SQL Queries', 'Data Warehousing']",4 Days Ago,https://www.naukri.com/job-listings-senior-data-analyst-tribolatech-india-india-10-to-17-years-220124003557
991,Mis Data Analyst-Retail FMCG - Bangalore,The Organic World,4-7 Yrs,Bangalore/Bengaluru,"['shopping data', 'data', 'MIS data', 'loyalty data', 'retail data', 'VLOOKUP', 'BI', 'Data Analysis']",4 Days Ago,https://www.naukri.com/job-listings-mis-data-analyst-retail-fmcg-bangalore-the-organic-world-bangalore-bengaluru-4-to-7-years-081123005553
992,Bioinformatician,Medical Services / Hospital - Diagnostics,2-5 Yrs,"Mumbai, Pune","['Unix', 'NGS Data Analysis', 'R Programming', 'GitHub', 'Python Programming', 'Multi-omics Data Analysis', 'Docker', 'Shell Scripting']",4 Days Ago,https://www.naukri.com/job-listings-bioinformatician-sanskruti-solutions-mumbai-pune-2-to-5-years-220124903430
993,Associate,Cipla,1-3 Yrs,Hybrid - Mumbai (All Areas),"['MIS', 'Excel', 'Data Processing', 'Data Entry', 'MS Office', 'MIS Reporting', 'Reporting', 'Processing']",4 Days Ago,https://www.naukri.com/job-listings-associate-cipla-mumbai-all-areas-1-to-3-years-220124003413
994,Cloud DATA ATA Professional,Bitwise Solutions,8-10 Yrs,Pune,"['Azure', 'Power BI', 'Azure Purview', 'AWS Redshift', 'Synapse Analytics', 'ADLS Gen2', 'AWS Glue', 'Key Vault']",4 Days Ago,https://www.naukri.com/job-listings-cloud-data-ata-professional-bitwise-solutions-pvt-ltd-pune-8-to-10-years-220124903401
995,Machine Learning Engineer,Useready,1-3 Yrs,Hybrid - Bengaluru(Bommanahalli),"['Natural Language Processing', 'Python', 'Machine Learning', 'Deep Learning', 'Processing', 'Languages', 'Process', 'Machine']",4 Days Ago,https://www.naukri.com/job-listings-machine-learning-engineer-useready-bengaluru-1-to-3-years-220124003365
996,Azure Platform Engineer - Applications Support,Digiai Solutions,7-8 Yrs,"Pune, Chennai, Bangalore/Bengaluru","['Azure infrastructure', 'C#', 'VMware', 'Java', 'Terraform', 'Applications Support', 'Troubleshooting', 'AWS']",4 Days Ago,https://www.naukri.com/job-listings-azure-platform-engineer-applications-support-digiai-solutions-pune-chennai-bangalore-bengaluru-7-to-8-years-220124903229
997,Control Tower Executive,Axestrack Software Solutions,0-1 Yrs,"Jaipur, Rajasthan","['Communication Skills', 'Ms excel', 'Mail Drafting', 'Microsoft', 'Excel', 'Draft', 'Email', 'Tower']",4 Days Ago,https://www.naukri.com/job-listings-control-tower-executive-axestrack-software-solutions-jaipur-rajasthan-0-to-1-years-220124003221
998,Procurement Manager,KS Smart Solutions,4-9 Yrs,Chennai,"['Procurement Management', 'data analysis', 'Procurement Manager', 'supply chain management', 'procurement', 'purchase', 'Procurement Officer', 'sourcing strategies']",4 Days Ago,https://www.naukri.com/job-listings-procurement-manager-ks-smart-solutions-chennai-4-to-9-years-220124903206
999,AI/ML Trainer,Synergistic Compusoft,4-9 Yrs,Remote,"['Machine Learning', 'Tensorflow', 'Pytorch']",4 Days Ago,https://www.naukri.com/job-listings-ai-ml-trainer-synergistic-compusoft-ghaziabad-uttar-pradesh-4-to-9-years-220124003102
1000,Operations Manager(international process -Voice ),Regalix,3-5 Yrs,Hyderabad/Secunderabad,"['Coaching skills  People Management  Ownership & Accountability  Teamwork & Collaboration  Decision making  Root cause analysis & recurrence prevention  Behavioral management  Customer Focus', 'Operations Management', 'Administration Management', 'International process', 'Root cause analysis', 'Teamwork', 'Coaching', 'People management']",4 Days Ago,https://www.naukri.com/job-listings-operations-manager-international-process-voice-regalix-hyderabad-secunderabad-3-to-5-years-271023009953
1001,Windows Admin,Cybage,3-5 Yrs,"Pune, Maharashtra","['Service Desk support', 'Jira service desk', 'Service Desk', 'Windows Admin', 'Incident Management', 'Service Now', 'change Management', 'problem Management']",4 Days Ago,https://www.naukri.com/job-listings-windows-admin-cybage-pune-maharashtra-3-to-5-years-220124903014
1002,Data Catalogue Analyst,Peakcock Cybersec,8-13 Yrs,"Bengaluru, Karnataka, Greater Noida, Uttar Pradesh","['Cataloguing', 'Data Lineage', 'Data Profiling', 'Metadata', 'Master Data Management', 'Data Cleansing', 'Master data', 'Management']",4 Days Ago,https://www.naukri.com/job-listings-data-catalogue-analyst-peakcock-cybersec-bengaluru-karnataka-greater-noida-uttar-pradesh-8-to-13-years-220124002916
1003,Hiring Data Analyst/ Salary - 20LPA /Location - Mumbai,Max Career,3-5 Yrs,"Thane, Maharashtra, Navi Mumbai, Maharashtra, Mumbai (All Areas)","['Data Science', 'GCP', 'Data Analytics', 'AWS', 'Statistics', 'SQL', 'Python', 'Science']",4 Days Ago,https://www.naukri.com/job-listings-hiring-data-analyst-salary-20lpa-location-mumbai-max-career-thane-maharashtra-navi-mumbai-maharashtra-mumbai-all-areas-3-to-5-years-220124002935
1004,Chief Financial Officer (CFO) Alco-Beverage - Mumbai,Good Drop Wine,15-21 Yrs,Mumbai (All Areas),"['Financial Planning And Analysis', 'Investment Management', 'Strategic Financial Planning', 'Fund Raising', 'Accounting', 'Profitability Management', 'Cash Flow Management', 'Financial Control']",4 Days Ago,https://www.naukri.com/job-listings-chief-financial-officer-cfo-alco-beverage-mumbai-good-drop-wine-cellars-pvt-ltd-mumbai-all-areas-15-to-21-years-220124002928
1005,"Project Schedulers(Primevera software operators,data entry & analysis)",fortune listed company,0-0 Yrs,"Panipat, Haryana, Barmer, Rajasthan, Barauni, Bihar","['PROJECT SCHEDULER', 'Primavera', 'Project', 'Data Entry', 'Scheduler', 'Analysis', 'Scheduling', 'Data']",4 Days Ago,https://www.naukri.com/job-listings-project-schedulers-primevera-software-operators-data-entry-analysis-authentic-staffing-agency-panipat-haryana-barmer-rajasthan-barauni-bihar-0-to-0-years-220124002882
1006,Gis Specialist,PiLog Groups,3-8 Yrs,Saudi Arabia,"['AutoCAD', 'Arc Map', 'GIS', 'Arcgis Desktop', 'Arcgis', 'Cartography', 'geodatabases', 'Geographical Information System']",4 Days Ago,https://www.naukri.com/job-listings-gis-specialist-pilog-groups-saudi-arabia-3-to-8-years-220124002878
1007,Associate Technical Architect - DATA,Bitwise Solutions,7-9 Yrs,Remote,"['data warehouse', 'Data Modelling', 'Java', 'Scala', 'Hadoop', 'Big Data', 'data architecture', 'DW Quality Assurance']",4 Days Ago,https://www.naukri.com/job-listings-associate-technical-architect-data-bitwise-solutions-pvt-ltd-pune-7-to-9-years-220124902862
1008,Job Opening For Data Science @ GlobalData(Hyd),Globaldata,3-6 Yrs,Hybrid - Hyderabad(Kondapur),"['Tensorflow', 'Generative AI', 'Deep Learning Frameworks', 'Natural Language Processing', 'Machine Learning Algorithms', 'Pytorch', 'Machine', 'Data']",4 Days Ago,https://www.naukri.com/job-listings-opening-for-data-science-globaldata-hyd-globaldata-hyderabad-3-to-6-years-220124002830
1009,Data Analyst,EDF International Networks,10-12 Yrs,"New Delhi, Delhi","['Data Analyst', 'Python', 'R', 'Database', 'Cloud Platform', 'Data', 'Cloud', 'Data analysis']",4 Days Ago,https://www.naukri.com/job-listings-data-analyst-edf-international-networks-new-delhi-delhi-10-to-12-years-220124002764
1010,AI Product Owner/engineer,ZF Friedrichshafen AG,5-5 Yrs,Hyderabad,"['AI', 'visual analytics', 'azure cloud', 'Python', 'ML', 'Analytics', 'Cloud', 'Engineering']",4 Days Ago,https://www.naukri.com/job-listings-ai-product-owner-engineer-zf-friedrichshafen-ag-hyderabad-5-to-5-years-220124902748
1011,Google Ads Specialist,LW Traders And Exim,1-6 Yrs,"Thane, Maharashtra, Navi Mumbai, Maharashtra, Mumbai (All Areas)","['Google Ads', 'Google AdWords', 'Remarketing', 'PPC', 'Keyword Research', 'Youtube', 'Data Analysis', 'Budget Management']",4 Days Ago,https://www.naukri.com/job-listings-google-ads-specialist-lw-traders-and-exim-thane-maharashtra-navi-mumbai-maharashtra-mumbai-all-areas-1-to-6-years-220124002750
1012,Project Manager - US Mortgage,Inspecthoa,8-12 Yrs,Remote,"['US Mortgage', 'Operations manager', 'Senior manager', 'Mortgage', 'Mortgage manager', 'Mortgage management', 'Senior management', 'Operations management']",4 Days Ago,https://www.naukri.com/job-listings-project-manager-us-mortgage-inspecthoa-delhi-ncr-8-to-12-years-220124002688
1013,Mis Executive - Odisha,Radiant Cash Management Services,0-1 Yrs,"Bhubaneswar, Odisha","['Pivot Table', 'Advanced Excel', 'Vlook', 'MIS', 'Excel', 'VLOOKUP', 'Pivot', 'Tables']",4 Days Ago,https://www.naukri.com/job-listings-mis-executive-odisha-radiant-cash-management-services-bhubaneswar-odisha-0-to-1-years-220124002680
1014,Accounts & Finance Manager - Pune (Chakan),MTC Business,5-10 Yrs,"Pune, Maharashtra(Chakan)","['Financial Reporting', 'Balance Sheet Finalisation', 'Finance Control', 'data analysis', 'Financial Accounting', 'Accounts Finalisation', 'cash flow analysis', 'Auditing']",4 Days Ago,https://www.naukri.com/job-listings-accounts-finance-manager-pune-chakan-mtc-business-pune-maharashtra-5-to-10-years-040923006856
1015,Senior Pressure Systems Integrity Engineer - G,Accenture,10-15 Yrs,"Pune, Maharashtra","['Pressure system', 'RBI Methodology', 'Data analysis', 'SAP', 'Risk Assessment', 'PowerBi', 'fabrication', 'Microsoft Azure']",4 Days Ago,https://www.naukri.com/job-listings-senior-pressure-systems-integrity-engineer-g-accenture-pune-maharashtra-10-to-15-years-220124902657
1016,Pressure Systems Integrity (PSI) Engineer - H,Accenture,7-10 Yrs,"Pune, Maharashtra","['Pressure system', 'process safety', 'Data analysis', 'SAP', 'Risk Assessment', 'process design', 'Microsoft ADO', 'powerbi']",4 Days Ago,https://www.naukri.com/job-listings-pressure-systems-integrity-psi-engineer-h-accenture-pune-maharashtra-7-to-10-years-220124902608
1017,Human Resource Manager,Ms Agarwal Foundries,10-17 Yrs,"Hyderabad, Telangana","['KPI', 'PMS', 'KRA', 'Goal Setting', 'Management', 'Resource', 'PM', 'Human resource management']",4 Days Ago,https://www.naukri.com/job-listings-human-resource-manager-ms-agarwal-foundries-hyderabad-telangana-10-to-17-years-220124002612
1018,Sr. Data Engineer (ETL/Python) For B2B data partner company (Remote).,B2B data Partner Company,5-8 Yrs,Remote,"['MySQL', 'ETL', 'Python', 'Linux', 'SCALA', 'Big Data', 'JSON', 'Spark']",4 Days Ago,https://www.naukri.com/job-listings-sr-data-engineer-etl-python-for-b2b-data-partner-company-remote-seventh-contact-hiring-solutions-jaipur-rajasthan-5-to-8-years-220124002546
1019,Pressure System Integrity (Delivery Focused) - H,Accenture,5-8 Yrs,"Pune, Maharashtra","['Pressure system', 'RBI Methodology', 'Data analysis', 'SAP', 'Risk Assessment', 'Microsoft ADO', 'Corrosion management', 'performance management']",4 Days Ago,https://www.naukri.com/job-listings-pressure-system-integrity-delivery-focused-h-accenture-pune-maharashtra-5-to-8-years-220124902492
1020,AVP- Data Science || Gurgaon/Noida,Bean Hr Consulting,12-19 Yrs,"Noida, Uttar Pradesh, Gurugram, Haryana","['Data Science', 'Property And Casualty Insurance', 'Python', 'Casualty', 'Insurance', 'Data', 'Property', 'Avp']",4 Days Ago,https://www.naukri.com/job-listings-avp-data-science-gurgaon-noida-bean-hr-consulting-noida-uttar-pradesh-gurugram-haryana-12-to-19-years-220124002481
1021,Tableau Developer,Saturam Infosystems,3-7 Yrs,"Chennai, Tamil Nadu, Bengaluru, Karnataka","['Tableau', 'Informatica', 'Talend', 'ETL Tool', 'AWS', 'Python', 'SQL', 'Development']",4 Days Ago,https://www.naukri.com/job-listings-tableau-developer-saturam-infosystems-chennai-tamil-nadu-bengaluru-karnataka-3-to-7-years-220124002471
1022,Senior Pressure System Integrity (PSI) Engineer (Delivery focused) - G,Accenture,10-15 Yrs,"Pune, Maharashtra","['Pressure system', 'RBI Methodology', 'Data analysis', 'SAP', 'Risk Assessment', 'Microsoft Azure', 'Corrosion management', 'performance management']",4 Days Ago,https://www.naukri.com/job-listings-senior-pressure-system-integrity-psi-engineer-delivery-focused-g-accenture-pune-maharashtra-10-to-15-years-220124902420
1023,Research Associate - AI,Xenonstack,2-5 Yrs,Mohali,"['Research And Development', 'Strategic Thinking', 'Analytical Skills', 'strong communication skills', 'Research Analysis', 'problem solving', 'Research', 'Analytical Skill']",4 Days Ago,https://www.naukri.com/job-listings-research-associate-ai-xenonstack-mohali-2-to-5-years-020523002467
1024,Risk Analytics professional,Archer Consultants Private Limited ,2-5 Yrs,"Mumbai, Maharashtra","['Risk Analytics', 'Risk Assessment', 'Credit Risk Management', 'Risk Analysis', 'Data Analysis', 'Market Research', 'Fraud Detection', 'Python']",4 Days Ago,https://www.naukri.com/job-listings-risk-analytics-professional-archer-consultants-mumbai-maharashtra-2-to-5-years-220124902203
1025,Data Integration (qad):: Architect/ Principal Engineer,ZF Friedrichshafen AG,5-5 Yrs,Hyderabad,"['Azure cloud', 'python', 'QAD', 'data integration', 'Data', 'Microsoft Azure', 'Cloud', 'Architecture']",4 Days Ago,https://www.naukri.com/job-listings-data-integration-qad-architect-principal-engineer-zf-friedrichshafen-ag-hyderabad-5-to-5-years-220124902186
1026,"Vice President , Transaction Monitoring",Barclays,18-25 Yrs,"Chennai, Tamil Nadu","['Transaction Monitoring', 'Aml', 'Anti Money Laundering', 'financial crime', 'Fraud Detection', 'Finance', 'Currency', 'Money Laundering']",4 Days Ago,https://www.naukri.com/job-listings-vice-president-transaction-monitoring-barclays-chennai-tamil-nadu-18-to-25-years-260623000981
1027,Data Programmer,Leading Client,2-5 Yrs,Saudi Arabia,"['Data analysis', 'Automation', 'R', 'data security', 'Database management', 'Programming', 'Data quality', 'data privacy']",4 Days Ago,https://www.naukri.com/job-listings-data-programmer-access-partners-saudi-arabia-2-to-5-years-220124902157
1028,Assistant Manager-Internal Audit," STAR Bazaar, a TATA & TESCO ENTERPRISE",1-5 Yrs,"Mumbai, Maharashtra(Wadala)","['Internal Audit', 'Internal Process Audit', 'Store Audit', 'Process Audit', 'Process', 'Stores', 'Assistance', 'Auditing']",4 Days Ago,https://www.naukri.com/job-listings-assistant-manager-internal-audit-star-bazaar-a-tata-tesco-enterprise-mumbai-maharashtra-1-to-5-years-220124002155
1029,Assessor Sustainability,DNV,5-10 Yrs,"Hybrid - Kolkata, Delhi / NCR, Mumbai (All Areas)","['Sustainability', 'ESG', 'EHS', 'Climate Change', 'Corporate Sustainability', 'Sustainable Development', 'Environment', 'Carbon']",4 Days Ago,https://www.naukri.com/job-listings-assessor-sustainability-dnv-kolkata-delhi-ncr-mumbai-all-areas-5-to-10-years-220124002089
1030,Apparel Designer- Senior Manager,Bean Hr Consulting,11-14 Yrs,Mumbai (All Areas),"['Apparel Designing', 'Photoshop', 'Visualiser', 'Illustrator', 'Graphic Designing', 'Adobe Creative Suite', 'Senior management', 'Graphics']",4 Days Ago,https://www.naukri.com/job-listings-apparel-designer-senior-manager-bean-hr-consulting-mumbai-all-areas-11-to-14-years-220124002047
1031,Hiring Data Analyst - Python & Pyspark/5-10 Yrs/Pune,D2N Solutions,5-10 Yrs,"Hyderabad, Telangana, Pune, Maharashtra, Bangalore Rural, Karnataka","['Pyspark', 'Python', 'Data', 'Hiring']",4 Days Ago,https://www.naukri.com/job-listings-hiring-data-analyst-python-pyspark-5-10-yrs-pune-d2n-solutions-hyderabad-telangana-pune-maharashtra-bangalore-rural-karnataka-5-to-10-years-220124002026
1032,Human Resource Manager,Sarovar Hotels,3-8 Yrs,"Gandhinagar, Gujarat, Tamilnadu, Maharashtra","['Human Resource Management', 'HR Generalist Activities', 'HR Administration', 'Employee Relations', 'HR Operations', 'Recruitment', 'Resource', 'Hrsd']",4 Days Ago,https://www.naukri.com/job-listings-human-resource-manager-sarovar-hotels-resorts-gandhinagar-gujarat-tamilnadu-maharashtra-3-to-8-years-220124002014
1033,Sr. Data Engineer,Micron,6-11 Yrs,Hyderabad,"['Big Data', 'Apachi Ni Fi', 'Kafka', 'ETL', 'Python', 'Data', 'Apache Nifi', 'SR']",4 Days Ago,https://www.naukri.com/job-listings-sr-data-engineer-micron-hyderabad-6-to-11-years-090124006855
1034,Supply Chain Technical Manager,DNV,10-12 Yrs,"Hybrid - Kolkata, Delhi / NCR, Mumbai (All Areas)","['Sustainability', 'Audit Management', 'ESG', 'Supply Chain Management', 'Carbon', 'Supply chain', 'Supply', 'Technical']",4 Days Ago,https://www.naukri.com/job-listings-supply-chain-technical-manager-dnv-kolkata-delhi-ncr-mumbai-all-areas-10-to-12-years-220124001924
1035,SAP ECC Data Analyst,JK Technosoft,3-6 Yrs,Bangalore/Bengaluru,"['Data Analysis', 'SAP ECC', 'SAP CO', 'SAP', 'SAP FI', 'Cost control', 'SQL', 'FI']",4 Days Ago,https://www.naukri.com/job-listings-sap-ecc-data-analyst-jk-technosoft-ltd-bangalore-bengaluru-3-to-6-years-220124901902
1036,Group Product Manager/ Sr. Group Product Manager,Eris,6-11 Yrs,"Mumbai, Maharashtra","['Strategic Marketing Planning', 'New Product Launch', 'Pharma Marketing', 'Product Promotion', 'Product Portfolio', 'GPM', 'Brand Launch', 'PMT']",4 Days Ago,https://www.naukri.com/job-listings-group-product-manager-sr-group-product-manager-eris-mumbai-maharashtra-6-to-11-years-291123004502
1037,Oracle Applications Technical/Functional Consultant,Oracle,5-10 Yrs,"Hyderabad/ Secunderabad, Telangana, Bangalore/ Bengaluru, Karnataka","['Oracle Apps Technical', 'Oracle Apps Functional', 'Oracle Financials', 'oracle fusion', 'Oracle Apps', 'Oracle Apps Financial Consultant', 'payment domain', 'Oracle E-business Suite']",4 Days Ago,https://www.naukri.com/job-listings-oracle-applications-technical-functional-consultant-oracle-hyderabad-secunderabad-telangana-bangalore-bengaluru-karnataka-5-to-10-years-241023000193
1038,Associate Data Scientist,Smartworks,3-6 Yrs,"Gurugram, Haryana","['Data Visualisation', 'Statistics', 'Machine Learning', 'SQL', 'Python', 'Algebra', 'Databases', 'Mathematics']",4 Days Ago,https://www.naukri.com/job-listings-associate-data-scientist-smartworks-gurugram-haryana-3-to-6-years-201223008809
1039,ETL Architect,IGT Solutions,3-7 Yrs,Remote,"['ETL architecture', 'Data modeling', 'PySpark', 'Big Data', 'data governance', 'Data quality', 'AWS', 'SQL']",4 Days Ago,https://www.naukri.com/job-listings-etl-architect-igt-solutions-private-limited-pune-3-to-7-years-081223911373
1040,ETL Architect,IGT Solutions,8-12 Yrs,Gurgaon/Gurugram,"['ETL Architecture', 'PySpark', 'Big Data', 'data governance', 'AWS Integration', 'EMR', 'Data Analytics', 'ETL Pipeline Development']",4 Days Ago,https://www.naukri.com/job-listings-etl-architect-igt-solutions-private-limited-gurgaon-gurugram-8-to-12-years-081223906002
1041,Marketing Analyst (Lead),IGT Solutions,10-15 Yrs,Pune,"['corporate communications', 'marketing research', 'statistical', 'dobe Target', 'data analysis', 'web optimization', 'CMS', 'marketing communications']",4 Days Ago,https://www.naukri.com/job-listings-marketing-analyst-lead-igt-solutions-private-limited-pune-10-to-15-years-081223906536
1042,General Manager Quality,IGT Solutions,12-16 Yrs,Gurgaon/Gurugram,"['Quality Management', 'Six Sigma', 'Power BI', 'back office', 'customer service', 'general management', 'bpo operations', 'Black Belt']",4 Days Ago,https://www.naukri.com/job-listings-general-manager-quality-igt-solutions-private-limited-gurgaon-gurugram-12-to-16-years-081223906476
1043,Business Analyst,IGT Solutions,5-8 Yrs,Gurgaon/Gurugram,"['Business Analysis', 'relationship management', 'test cases', 'MS Project', 'Visio', 'fit gap Analysis', 'change management', 'Management']",4 Days Ago,https://www.naukri.com/job-listings-business-analyst-igt-solutions-private-limited-gurgaon-gurugram-5-to-8-years-071223911129
1044,Lead Associate - Quality,IGT Solutions,5-9 Yrs,Karnataka,"['Quality Assurance', 'data analysis', 'application support', 'visio', 'data processing', 'business analysis', 'business process analysis', 'Process analysis']",4 Days Ago,https://www.naukri.com/job-listings-lead-associate-quality-igt-solutions-private-limited-karnataka-5-to-9-years-071223909226
1045,Marketing Analyst ( Lead ),IGT Solutions,8-12 Yrs,Gurgaon/Gurugram,"['Marketing', 'marketing research', 'Java', 'Campaign management', 'Web analytics', 'Social media', 'Content writing', 'corporate communication']",4 Days Ago,https://www.naukri.com/job-listings-marketing-analyst-lead-igt-solutions-private-limited-gurgaon-gurugram-8-to-12-years-071223909317
1046,Business Analyst ,IGT Solutions,5-7 Yrs,Madhya Pradesh,"['business analysis', 'it business analysis', 'IT Business Analyst', 'software development', 'relationship management', 'MS Project', 'Software', 'Analysis']",4 Days Ago,https://www.naukri.com/job-listings-business-analyst-igt-solutions-private-limited-madhya-pradesh-5-to-7-years-071223909108
1047,Business Analyst,Citicorp Finance,6-10 Yrs,Chennai,"['Business Analyst', 'Agile methodologies', 'Good English Communication', 'Requirement Gathering', 'Client Interaction', 'Requirements', 'Client', 'Agile']",4 Days Ago,https://www.naukri.com/job-listings-business-analyst-citicorp-finance-chennai-6-to-10-years-141123006100
1048,Assistant Catalogue Manager,Adventum Student Living,1-4 Yrs,"Mumbai, Maharashtra","['Content Management Systems', 'data analysis', 'Django', 'MySQL', 'JavaScript', 'Catalogue Manager', 'Data Reporting', 'Python']",4 Days Ago,https://www.naukri.com/job-listings-assistant-catalogue-manager-adventum-student-living-mumbai-maharashtra-1-to-4-years-220124901639
1049,Manager - FP&A,The Times Group,2-5 Yrs,"Mumbai, Maharashtra, Mumbai Suburban, Maharashtra","['planning software', 'Financial Analytics', 'Zoho Analytics', 'Planning And Analysis', 'Anaplan', 'Hyperion Planning', 'Model Building', 'board']",4 Days Ago,https://www.naukri.com/job-listings-manager-fp-a-the-times-group-mumbai-maharashtra-mumbai-suburban-maharashtra-2-to-5-years-220124001631
1050,Manager Analytics - Risk Analytics,SkillLabs,2-5 Yrs,"Pune, Maharashtra","['Risk Analytics', 'Model Monitoring', 'Predictive Modeling', 'application scorecard', 'R', 'analystics', 'SAS', 'Model Validation']",4 Days Ago,https://www.naukri.com/job-listings-manager-analytics-risk-analytics-skilllabs-pune-maharashtra-2-to-5-years-061223004698
1051,Associate Analyst,Growisto,0-2 Yrs,"Indore, Madhya Pradesh, Navi Mumbai, Maharashtra, Mumbai (All Areas)","['Analytical Skills', 'MIS', 'Digital Marketing', 'Data Interpretation', 'Research Analysis', 'Interpretation', 'Digital', 'Analytical']",4 Days Ago,https://www.naukri.com/job-listings-associate-analyst-growisto-indore-madhya-pradesh-navi-mumbai-maharashtra-mumbai-all-areas-0-to-2-years-220124001496
1052,LT 32 Strategic Executive Assistant (Freshers),Leuwint Technologies,0-1 Yrs,"Pune, Palghat/Palakkad, Bangalore/Bengaluru","['marketing communications', 'Executive Assistant', 'social media management', 'Marketing communication', 'Management', 'Assistance', 'Media', 'Media management']",4 Days Ago,https://www.naukri.com/job-listings-lt-32-strategic-executive-assistant-freshers-leuwint-technologies-pune-palghat-palakkad-bangalore-bengaluru-0-to-1-years-220124901462
1053,Big Data Analyst,Cygnus Professionals,5-10 Yrs,"Hybrid - Hyderabad, Telangana, Pune, Maharashtra, Bangalore Rural, Karnataka","['Pyspark', 'Hadoop', 'SCALA', 'Agile Methodology', 'Hive', 'Banking Analytics', 'Data Pipeline', 'Risk Analytics']",4 Days Ago,https://www.naukri.com/job-listings-big-data-analyst-cygnus-professionals-hyderabad-telangana-pune-maharashtra-bangalore-rural-karnataka-5-to-10-years-220124001425
1054,Freelance Tableau Developer,Mobilestyx,3-8 Yrs,Mumbai,"['Tableau', 'Tableau server', 'data extraction techniques', 'Oracle', 'SQL', 'Data extraction', 'Serv', 'Freelancing']",4 Days Ago,https://www.naukri.com/job-listings-freelance-tableau-developer-mobilestyx-mumbai-3-to-8-years-220124901415
1055,Sr. Data Scientist,One of our product-based client in Cloud Data Management.,3-7 Yrs,Bengaluru,"['Artificial Intelligence', 'Machine Learning', 'Predictive Modeling', 'Recommender Systems', 'Cnn', 'Logistic Regression', 'Lstm', 'Natural Language Processing']",4 Days Ago,https://www.naukri.com/job-listings-sr-data-scientist-wenger-watson-bengaluru-3-to-7-years-220124001412
